Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Tata Indica DLS,Chennai,2006,140000,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,5.0,5.1865473
Tata Nano XT,Delhi,2015,20047,Petrol,Manual,First,23.9 kmpl,624 CC,37.48 bhp,4.0,4.44217
BMW 7 Series 730Ld DPE Signature,Chennai,2017,16000,Diesel,Automatic,First,16.77 kmpl,2993 CC,261.49 bhp,5.0,61.802467
Honda Brio 1.2 S MT,Chennai,2012,27000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5.0,3.9192293
Maruti Alto 800 2016-2019 LXI,Mumbai,2018,1001,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,4.279177
Hyundai i20 1.2 Sportz,Kolkata,2010,89312,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,1.6938992
Hindustan Motors Contessa 2.0 DSL,Pune,1996,65000,Diesel,Manual,Second,14.1 kmpl,1995 CC,null bhp,5.0,1.9972221
Renault Duster 110PS Diesel RxZ,Pune,2012,93000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,4.7726455
Maruti Swift Dzire VDI,Kolkata,2013,48000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,5.454331
Maruti Dzire ZDI,Coimbatore,2014,64917,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,6.281026
Honda City i VTEC V,Jaipur,2017,19678,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,10.641065
Jaguar XF Diesel,Kolkata,2014,12000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,38.649258
BMW 3 Series 320d Luxury Line,Delhi,2014,41309,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,22.467337
BMW 3 Series Luxury Line,Coimbatore,2018,25038,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,34.897976
Chevrolet Beat Diesel LS,Coimbatore,2016,68673,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,3.6881294
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,26343,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,43.054607
Maruti Omni E 8 Str STD,Bangalore,2005,81245,Petrol,Manual,Fourth & Above,16.8 kmpl,796 CC,34.2 bhp,8.0,2.3812652
Nissan Micra Diesel XV,Delhi,2012,62100,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,4.9683037
Volkswagen Vento Petrol Highline,Pune,2013,104000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,4.255437
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,114831,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,20.042963
Fiat Linea Dynamic,Mumbai,2010,46000,Petrol,Manual,First,14.6 kmpl,1368 CC,88.7 bhp,5.0,2.609659
Hyundai Verna 1.6 SX,Jaipur,2014,80000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,6.3188834
Hyundai i20 Active 1.2 S,Kolkata,2016,9201,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5.0,4.2905536
Honda Brio V MT,Kochi,2013,55311,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,3.3573763
Honda Mobilio RS Option i DTEC,Coimbatore,2015,58217,Diesel,Manual,First,24.5 kmpl,1498 CC,98.6 bhp,7.0,8.112447
Mitsubishi Pajero Sport 4X4,Delhi,2013,70655,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,12.649425
Hyundai i10 Magna,Kolkata,2015,46000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,3.697141
Tata Manza Club Class Quadrajet90 LS,Pune,2014,125000,Diesel,Manual,First,21.02 kmpl,1248 CC,88.8 bhp,5.0,7.3035994
Renault Duster Adventure Edition,Mumbai,2014,59000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,5.6107035
Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,2013,66000,Diesel,Automatic,Second,22.0 kmpl,1582 CC,126.2 bhp,5.0,5.5403185
Maruti Ritz VDi,Hyderabad,2009,82242,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,4.5364137
Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2012,107281,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,10.038355
Tata Sumo EX 10/7 Str BSII,Chennai,2015,196000,Diesel,Manual,Second,12.2 kmpl,1948 CC,68 bhp,10.0,5.021974
Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015,75000,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5.0,24.166346
Fiat Grande Punto 1.2 Emotion,Kolkata,2011,11791,Petrol,Manual,First,16.2 kmpl,1172 CC,68 bhp,5.0,1.6085997
Hyundai Elantra SX,Ahmedabad,2013,46000,Petrol,Manual,First,16.3 kmpl,1797 CC,147.5 bhp,5.0,6.3629203
Volkswagen Polo Diesel Trendline 1.2L,Pune,2011,81000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,3.9012253
Toyota Etios Cross 1.2L G,Coimbatore,2015,46950,Petrol,Manual,First,17.71 kmpl,1197 CC,78.8 bhp,5.0,5.6572933
Hyundai Grand i10 Asta Option,Chennai,2017,18000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,6.4285607
Mahindra Scorpio S4 7 Seater,Coimbatore,2016,95942,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,11.309311
Maruti Ciaz VXi Plus,Kochi,2016,42925,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,6.970314
Ford Figo Petrol Titanium,Hyderabad,2014,33750,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5.0,4.007349
Mini Cooper S,Mumbai,2016,14000,Petrol,Automatic,First,13.6 kmpl,1598 CC,181 bhp,4.0,27.361198
Hyundai Creta 1.6 CRDi SX,Bangalore,2015,29000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,9.0472355
Mahindra XUV500 W8 2WD,Kochi,2015,67365,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,10.642326
Mahindra XUV500 W8 2WD,Coimbatore,2014,67791,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9.86238
Mahindra Thar CRDe AC,Hyderabad,2016,20000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,6.0,13.990547
Maruti Swift Dzire VDi,Jaipur,2011,90198,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,4.5045567
Hyundai i10 Sportz 1.1L,Pune,2010,77000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1.6256834
Maruti Ciaz VXi,Kochi,2017,42520,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,8.448916
Maruti Wagon R LXI DUO BSIII,Jaipur,2009,87829,LPG,Manual,First,17.3 km/kg,1061 CC,57.5 bhp,5.0,2.2432857
Maruti Baleno Delta CVT,Ahmedabad,2017,21701,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,8.130049
Maruti Alto LX BSIII,Coimbatore,2008,86033,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,2.3399162
Hyundai Xcent 1.2 Kappa S Option,Mumbai,2015,25000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5.0,4.3998213
Toyota Corolla Altis Diesel D4DG,Kolkata,2011,45000,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,3.8168066
Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2018,22987,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,6.7667613
Hyundai i10 Era,Jaipur,2009,48725,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1.2937031
Hyundai Grand i10 1.2 Kappa Sportz,Hyderabad,2013,42500,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,4.490347
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2014,35000,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,7.5647073
Ford Fiesta 1.4 SXi TDCi ABS,Bangalore,2014,56000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,4.6779137
Tata Xenon XT EX 4X2,Hyderabad,2014,10000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,5.0,15.776915
Maruti Alto K10 2010-2014 VXI,Mumbai,2010,15669,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,2.3330057
Audi A6 2011-2015 35 TDI Premium,Kochi,2016,55331,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,29.972002
Renault Duster 85PS Diesel RxL Optional,Pune,2015,44535,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,4.9412317
Mahindra Thar 4X4,Delhi,2012,74000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,7.0,5.9168353
Toyota Innova 2.5 GX (Diesel) 7 Seater,Delhi,2014,77901,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,10.291828
Maruti Swift Dzire VXi,Kolkata,2010,58186,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,3.6764371
Chevrolet Aveo 1.6 LT,Mumbai,2010,30000,Petrol,Manual,First,14.2 kmpl,1598 CC,102 bhp,5.0,2.6115081
Toyota Etios GD,Bangalore,2012,90000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,6.628598
Jaguar XE Portfolio,Coimbatore,2018,14730,Petrol,Automatic,First,13.5 kmpl,1999 CC,246.74 bhp,5.0,64.56038
Maruti Alto LXi,Jaipur,2013,40000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,3.0017526
Chevrolet Aveo U-VA 1.2 LS,Chennai,2007,88107,Petrol,Manual,Second,15.26 kmpl,1150 CC,74.9 bhp,5.0,1.2147791
Volkswagen Vento 1.5 TDI Highline,Delhi,2012,53226,Diesel,Manual,Second,20.64 kmpl,1498 CC,108.5 bhp,5.0,4.1490054
Maruti Swift VDI BSIV,Hyderabad,2013,76000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,6.190896
Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2008,200000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,6.8700004
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Hyderabad,2013,73000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,26.745369
Hyundai Accent GLE 1,Jaipur,2009,77200,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5.0,1.5489721
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,67000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,13.539826
Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2005,150000,Diesel,Manual,Second,14.8 kmpl,2499 CC,80 bhp,10.0,2.247735
Mahindra Xylo E8 ABS BS IV,Jaipur,2009,145278,Diesel,Manual,Second,11.68 kmpl,2498 CC,112 bhp,8.0,4.9238157
Hyundai i20 Active SX Diesel,Chennai,2015,62083,Diesel,Manual,First,21.19 kmpl,1396 CC,88.76 bhp,5.0,6.3957562
Honda Civic 2006-2010 1.8 V MT,Pune,2010,61696,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,3.3870687
Ford EcoSport 1.5 Diesel Titanium,Ahmedabad,2017,28000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,8.940186
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2013,50142,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,20.859478
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2014,45000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,12.60114
Skoda Rapid 1.5 TDI Elegance,Pune,2014,97513,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,6.2345476
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Mumbai,2011,55000,Petrol,Automatic,Second,12.3 kmpl,1796 CC,185 bhp,5.0,12.878144
Maruti 800 AC,Hyderabad,2004,82000,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,4.0,4.8079443
Maruti Swift LDI,Delhi,2013,71501,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,5.4808908
Honda BR-V i-DTEC S MT,Hyderabad,2017,23000,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7.0,8.583903
Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,66095,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,23.3637
Toyota Fortuner 3.0 Diesel,Mumbai,2014,49500,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,17.842613
Toyota Camry MT with Moonroof,Chennai,2009,90000,Petrol,Manual,First,13.4 kmpl,2362 CC,164.7 bhp,5.0,5.214505
Maruti Ignis 1.2 Delta,Mumbai,2017,25384,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,6.75284
Hyundai Verna 1.6 VTVT S,Delhi,2016,27529,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,9.168855
Honda City V MT,Kochi,2012,69297,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,4.869511
Honda City 1.5 E MT,Hyderabad,2009,66000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,3.8461168
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2012,20000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5.0,3.7237275
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015,67000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,46.95076
Hyundai EON D Lite Plus,Coimbatore,2015,36933,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,2.8971584
Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2007,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,5.9587445
Maruti Ertiga VDI,Kolkata,2013,42200,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,5.6591864
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53093,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,40.501266
Honda City 1.5 E MT,Pune,2012,88000,Petrol,Manual,Third,17.0 kmpl,1497 CC,118 bhp,5.0,4.6262407
Maruti Alto K10 LXI,Kochi,2017,42954,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.2430286
Tata Indica V2 eLX,Chennai,2015,106000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,5.0757313
BMW 5 Series 2013-2017 520d Luxury Line,Kochi,2015,41700,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,24.325663
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Coimbatore,2018,34464,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,39.345196
Chevrolet Beat LT,Ahmedabad,2010,15000,Petrol,Manual,First,17.8 kmpl,1199 CC,76.8 bhp,5.0,3.264581
Maruti Zen Estilo LXI BS IV,Pune,2010,70000,Petrol,Manual,Second,19.0 kmpl,998 CC,67.1 bhp,5.0,2.5564265
Mahindra XUV500 W8 4WD,Hyderabad,2017,119256,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,14.056919
Honda City 1.5 V MT,Coimbatore,2011,50036,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,4.4324603
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2013,58000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,10.126292
Hyundai i20 1.2 Magna,Pune,2011,75000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,2.5361712
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,53313,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,3.9771361
Toyota Innova 2.5 G (Diesel) 8 Seater,Kolkata,2015,73000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,10.841167
Nissan Micra Diesel XV,Kochi,2013,83989,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,5.9199123
Hyundai Creta 1.6 CRDi SX,Chennai,2015,86247,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,8.178836
Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2016,24000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,14.458328
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,2010,58000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,22.121906
Hyundai i20 Asta 1.2,Kolkata,2015,33000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,4.0154457
Honda Accord VTi-L (AT),Hyderabad,2005,100000,Petrol,Automatic,First,11.1 kmpl,2354 CC,142 bhp,5.0,4.664139
Toyota Innova Crysta 2.4 ZX MT,Hyderabad,2017,65896,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,17.040846
Hyundai i20 Asta Option 1.4 CRDi,Chennai,2016,120000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,6.691432
Mahindra Verito Vibe 1.5 dCi D6,Mumbai,2013,26000,Diesel,Manual,First,20.8 kmpl,1461 CC,64.1 bhp,5.0,3.9120896
Maruti Eeco 5 Seater AC,Chennai,2012,62300,Petrol,Manual,Second,15.1 kmpl,1196 CC,73 bhp,5.0,4.3215504
Toyota Corolla Altis 1.8 G,Kochi,2012,77801,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,5.108833
Toyota Corolla Altis VL AT,Mumbai,2015,42000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,11.831386
Mercedes-Benz A Class A180 Sport,Bangalore,2013,35000,Petrol,Automatic,Second,15.5 kmpl,1595 CC,120.7 bhp,5.0,12.88023
Hyundai i20 Asta 1.4 CRDi,Kolkata,2016,30134,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,6.1241727
Honda Accord 2.4 M/T,Delhi,2012,79038,Petrol,Manual,First,12.8 kmpl,2354 CC,177.6 bhp,5.0,8.165131
Honda Accord 2.4 AT,Mumbai,2009,80000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5.0,5.595333
Mahindra Bolero SLE BSIII,Hyderabad,2012,75000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,5.6276007
Maruti Ritz LDi,Bangalore,2010,80000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,4.647053
Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,84419,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,12.249754
Honda Amaze S i-Vtech,Kolkata,2013,70200,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,2.6850624
Volkswagen Vento Petrol Highline,Chennai,2013,98000,Petrol,Manual,Second,15.04 kmpl,1598 CC,103.6 bhp,5.0,4.851141
Maruti Ritz LDi,Chennai,2016,131503,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,7.038885
Honda City 1.5 S MT,Jaipur,2011,54652,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,4.0066156
Volkswagen Jetta 2007-2011 1.6 Trendline,Mumbai,2010,92000,Petrol,Manual,Second,14.0 kmpl,1595 CC,102 bhp,5.0,1.7813603
Ford Figo Petrol ZXI,Kolkata,2010,44287,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,1.5311476
Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,205000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,11.518275
Hyundai Elite i20 Asta Option,Hyderabad,2015,48000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,5.7626166
Mahindra KUV 100 mFALCON D75 K2,Mumbai,2016,18000,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,5.3605413
Bentley Flying Spur W12,Bangalore,2008,31200,Petrol,Automatic,Second,10.2 kmpl,5998 CC,616 bhp,5.0,30.528008
Honda City 1.5 V MT,Pune,2009,72000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,3.1432223
Hyundai i20 Magna,Mumbai,2009,85000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,1.8973333
Honda City 1.5 V MT,Kolkata,2010,27000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,3.9447768
Toyota Fortuner 2.8 2WD MT,Mumbai,2012,126000,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,12.139038
Tata Indica V2 DLS BSIII,Pune,2017,50000,Diesel,Manual,First,17.88 kmpl,1405 CC,48.21 bhp,5.0,5.941383
Honda Amaze S i-Vtech,Mumbai,2013,58811,Petrol,Manual,Second,18.0 kmpl,1198 CC,86.7 bhp,5.0,3.1243618
Volkswagen Polo Diesel Highline 1.2L,Pune,2013,52196,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,5.2040215
Nissan Micra Active XV,Coimbatore,2017,45105,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5.0,6.6001806
Hyundai Grand i10 Sportz,Hyderabad,2015,25160,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,5.6054997
Tata Tigor 1.2 Revotron XZ Option,Hyderabad,2017,18000,Petrol,Manual,First,20.3 kmpl,1199 CC,84 bhp,5.0,6.983249
Honda Accord 2001-2003 2.3 VTI L MT,Bangalore,2007,74000,Petrol,Manual,First,11.9 kmpl,2354 CC,144 bhp,5.0,4.508958
Mahindra Xylo E4,Chennai,2009,67700,Diesel,Manual,First,14.0 kmpl,2498 CC,112 bhp,7.0,4.5370345
Land Rover Freelander 2 S Business Edition,Kochi,2015,61062,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5.0,15.423181
Toyota Innova 2.5 VX (Diesel) 7 Seater,Kolkata,2016,105000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,11.481367
Tata Indigo eCS eLX BS IV,Pune,2013,155550,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,4.83893
Maruti Vitara Brezza VDi Option,Delhi,2016,66000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,7.1738515
Honda City 1.5 V MT,Kochi,2012,93884,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,4.735847
Fiat Linea Emotion (Diesel),Mumbai,2009,200000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5.0,3.8152351
Tata Tiago 1.2 Revotron XZ,Kolkata,2016,57200,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5.0,5.538984
Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2013,93568,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,5.3878694
Maruti Wagon R VXI BS IV,Kolkata,2014,54000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,3.520944
Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,40571,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,11.8032
Audi A4 35 TDI Technology,Hyderabad,2015,59000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5.0,31.689005
BMW X1 xDrive 20d xLine,Coimbatore,2017,17273,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,36.204033
Ford Endeavour 3.0L AT 4x2,Mumbai,2011,100077,Diesel,Automatic,Second,11.4 kmpl,2953 CC,153.86 bhp,7.0,6.8996806
Hyundai i10 Magna AT,Kochi,2011,39934,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5.0,2.986466
Maruti Vitara Brezza LDi,Bangalore,2016,46000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,7.9221597
Honda City 1.5 V MT,Coimbatore,2016,30842,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,9.087929
Mercedes-Benz New C-Class 200 K AT,Mumbai,2005,65000,Petrol,Automatic,Second,11.7 kmpl,1796 CC,178 bhp,5.0,8.053477
Volvo XC90 2007-2015 D5 AWD,Bangalore,2016,70000,Diesel,Manual,First,11.1 kmpl,2400 CC,200 bhp,7.0,16.309578
Toyota Fortuner 3.0 Diesel,Chennai,2011,150152,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,12.975449
Nissan Teana 230jM,Coimbatore,2009,67038,Petrol,Automatic,First,9.1 kmpl,2349 CC,null bhp,5.0,10.13841
Hyundai Santro Xing GLS CNG,Bangalore,2011,43985,CNG,Manual,First,11.88 km/kg,1086 CC,62.1 bhp,5.0,3.7108715
BMW X6 xDrive30d,Coimbatore,2014,58598,Diesel,Automatic,First,11.2 kmpl,2993 CC,241 bhp,4.0,33.970432
Tata Indigo CS eVX,Pune,2016,100000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,5.5049634
Audi Q5 30 TDI quattro Premium Plus,Jaipur,2016,35000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,31.82202
Hyundai i10 Sportz 1.2,Pune,2008,84500,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,1.7981488
Maruti Baleno Delta 1.2,Kolkata,2018,18006,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,6.5828624
Maruti Swift VDI,Hyderabad,2013,99000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,6.190896
Maruti Eeco 5 Seater AC,Delhi,2014,51200,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5.0,4.253509
Toyota Land Cruiser Prado VX L,Pune,2014,130000,Diesel,Automatic,First,11.0 kmpl,2982 CC,170.30 bhp,7.0,18.912428
Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Ahmedabad,2017,25000,Diesel,Automatic,First,16.38 kmpl,1995 CC,182.46 bhp,5.0,30.757608
Maruti Baleno Delta,Kochi,2017,32352,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,6.6903515
Hyundai i10 Sportz 1.2,Bangalore,2011,20000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,3.7651174
Audi A4 2.0 TDI,Bangalore,2013,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,17.23888
Maruti Dzire AMT ZXI Plus,Mumbai,2018,12500,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,8.647857
